Data;PETR4;VALE5;ITUB4;BBDC4;VALE3;PETR3;USIM5;GGBR4;BBAS3;CSNA3;IBOV
2/1/2009;20.75562349;20.76436008;20.51689729;16.01569145;24.60114227;26.25658401;13.31139476;14.87328038;10.33989301;11.43973153;40244
5/1/2009;21.22926445;22.19091917;20.56662662;15.90187986;25.94008969;26.83693718;14.18769348;15.68522125;10.53290435;12.46036332;41518
6/1/2009;21.52529005;22.94382535;21.41202508;16.4169205;26.65795909;27.27659866;14.45197404;16.3310833;11.11193836;13.19608375;42312
7/1/2009;20.67950262;21.78672742;20.18300042;15.67654958;25.00443969;25.85209545;13.93268592;16.22959069;10.86378093;12.66232579;40820
8/1/2009;21.56757942;22.59511091;20.30377163;15.70230161;26.11754055;27.21504606;14.50761206;17.33678278;10.61562349;13.54230514;41990
9/1/2009;21.48300068;22.37320172;20.28245906;15.54135141;25.69004529;27.17107991;14.23869499;17.29064977;10.94650007;13.37280092;41582
12/1/2009;20.08745142;20.74850942;19.42285222;14.9748067;23.64129443;25.18380998;13.65449585;15.76826065;10.85688766;12.43511801;39403
13/1/2009;20.2566089;21.20025313;18.71243333;14.39538598;24.27850434;25.27174228;13.59885783;15.45455623;10.42950542;12.22954906;39544
14/1/2009;19.70684708;20.36809366;17.30580395;13.52625489;23.14927158;24.33965993;13.00074919;14.76256117;9.726392694;11.97709597;37981
15/1/2009;20.38347702;20.92286664;17.61838826;13.93828741;23.7542177;25.13984384;13.4690358;15.50068923;10.33989301;12.49642804;39151
16/1/2009;20.53571876;21.08137321;17.01453221;13.64857704;24.19784486;25.50036626;13.8816844;15.75903405;9.926297292;12.80297823;39341
19/1/2009;20.15511441;20.91494131;17.26317882;13.66789107;23.93166857;25.03432508;13.79359088;15.50068923;9.95387034;12.93281124;38828
20/1/2009;19.50385809;20.05108053;16.08388347;12.94683417;22.87502934;24.13741565;13.12129822;14.76256117;9.271437402;12.07086426;37272
21/1/2009;20.51880301;20.58207753;16.62380182;13.57775896;23.54450305;25.50915949;13.63131334;15.24234441;9.478235262;12.92199183;38542
22/1/2009;19.9944148;20.48697359;16.16202955;13.4554368;23.57676684;24.8936334;13.68695136;14.61493556;9.340370022;12.80297823;37894
23/1/2009;19.95212543;20.84361336;16.53144737;13.59707298;24.39949357;24.8320808;13.12129822;14.35659074;9.168038472;12.44233095;38132
26/1/2009;20.12974079;21.3587597;16.42488454;13.616387;24.85925262;25.13984384;12.74110512;14.48576315;9.726392694;12.61904812;38509
27/1/2009;20.21431953;22.13544187;16.19044631;13.35242867;25.89975995;24.92880632;12.79210664;13.98752671;9.891830982;12.91477888;38698
28/1/2009;21.31384319;23.27668914;17.39105422;13.97047745;27.37582848;26.77538457;13.48294531;14.17205873;10.13998841;13.36919445;40227
29/1/2009;21.17005933;22.58718558;16.83692749;13.55200692;26.64182719;26.39727569;13.53858332;14.01520651;9.753965742;13.02657954;39638
30/1/2009;21.17005933;22.1988445;16.60959345;13.39105672;26.21433193;26.70503873;13.38094228;13.8675809;9.788432052;12.6875711;39300
2/2/2009;20.8824916;21.99278596;16.10635859;13.03696628;26.06107891;26.16865172;13.0332047;13.70150209;9.485128524;12.69478404;38666
3/2/2009;21.63524241;22.98345199;16.34091721;13.0785478;27.35163064;27.17987314;13.12593472;14.38427054;9.774645528;13.10592194;39746
4/2/2009;21.7367369;23.81561146;16.63944636;13.46510586;28.56152288;27.39970388;13.81677339;15.0578124;9.622993764;13.53148572;40129
5/2/2009;21.99047313;24.84590414;17.35023006;13.91609027;29.80367892;27.69867369;14.32215201;15.35306362;9.926297292;13.97508187;41108
6/2/2009;22.9208393;25.74146623;18.58699369;14.57968161;31.25554961;29.19352275;14.84144014;15.98969907;10.05037601;14.49802041;42755
9/2/2009;23.16611766;24.98063472;18.30268021;14.60545215;30.32796556;29.55404517;14.16451097;15.54682223;9.857364672;14.09409547;42100
10/2/2009;22.87854993;24.48133904;17.59189652;14.21889409;29.44071124;29.35180088;13.67767835;14.67029517;9.74707248;13.63246696;41207
11/2/2009;22.75168182;24.00581934;17.55635733;14.45727156;28.61798452;29.01765815;13.29284876;14.68874837;9.878044458;13.26460674;40845
12/2/2009;22.6586452;23.61747826;17.39998492;14.05782823;28.07756598;28.79782741;13.07493321;14.25509813;9.616100502;12.83904295;40500
13/2/2009;23.34373302;24.32283247;18.12498429;14.52814054;29.35198581;29.82663529;13.49221831;14.68874837;9.809111838;13.38362034;41673
16/2/2009;23.61438499;24.50511502;18.05390592;14.45082892;29.44877719;30.11681187;13.32530427;14.53189615;9.74707248;13.52427277;41841
17/2/2009;22.3287881;23.03100396;16.98773037;13.87099183;27.5129496;28.4109253;12.72719562;13.74763509;9.409302642;12.93281124;39846
18/2/2009;21.89743652;23.46689702;16.84557363;13.94830344;28.06950004;27.7602263;12.88947316;13.56310308;9.312796974;12.44233095;39674
19/2/2009;22.24420936;23.60955293;16.68920122;13.78723758;28.2469509;28.31419977;12.87092716;13.27707845;9.512701572;12.33413677;39730
20/2/2009;21.8043999;22.0324126;16.20586831;13.21384312;25.99655133;27.69867369;12.51855307;12.43745779;9.614507798;12.13938724;38714
25/2/2009;22.20191999;21.01004525;16.02817238;13.52953221;24.60114227;28.35816592;12.15226948;12.08684696;9.797775542;11.54431924;38231
26/2/2009;22.4302826;21.0496719;16.06371157;13.62617172;24.60114227;28.57799667;12.14299648;11.79159574;9.875311895;11.46137037;38180
27/2/2009;22.3287881;21.26365576;15.77939809;13.33625318;24.89958236;28.75386126;12.02244745;11.68087653;9.762531745;11.30629204;38183
2/3/2009;21.16160145;20.01145389;14.93453037;12.83372769;23.48804141;26.97762885;11.35942779;10.97965487;9.233874791;10.4912292;36234
3/3/2009;20.97552822;20.44734695;14.86341356;12.77218214;23.93973451;26.81935072;11.4057928;11.12777838;9.36075246;10.99974186;36467
4/3/2009;22.30341448;22.42867902;15.75948538;13.43625824;26.36758495;28.5867899;12.33309302;11.85913819;9.762531745;12.00594775;38402
5/3/2009;21.99047313;21.55689291;15.64569848;13.15257524;25.18189055;28.22626748;11.57270684;11.10926294;9.381898738;11.25219495;37368
6/3/2009;21.71136328;21.05759722;15.85904892;13.45560026;24.52048279;27.70746692;11.49547898;10.62786155;9.565166482;11.18727844;37105
9/3/2009;21.7367369;20.42357096;15.67414521;13.06875981;23.95586641;27.77781276;11.00822205;10.47048032;9.48058137;11.07187131;36741
10/3/2009;22.89546568;21.69162349;16.66300858;13.85533539;25.73037503;29.2990415;11.69416627;10.92410856;9.889409414;11.93742477;38794
11/3/2009;23.01387592;21.7788021;16.69892023;13.73283592;25.98848538;29.48369933;11.63739847;11.01668575;9.959897008;11.86529531;38804
12/3/2009;23.30144365;21.47763962;17.12986011;14.093887;25.53679227;30.16077802;11.59955328;11.15555154;10.07972592;12.00955422;39151
13/3/2009;23.42831176;21.08137321;17.23759508;13.99072955;24.85925262;30.24871032;11.59009198;10.80375821;10.28413994;11.66333284;39015
16/3/2009;22.99696017;21.16855182;17.31660072;14.06809764;24.74632934;29.54525194;11.16433349;10.5075112;10.2559449;11.45415742;38607
17/3/2009;23.66513224;21.43801298;17.69726428;14.31309659;25.36740736;30.42457491;11.022414;10.36864541;10.55904156;11.50464804;39510
18/3/2009;23.93578422;21.36668503;18.25030379;14.59033224;25.11736296;30.7763041;11.117027;10.56305751;10.9326258;12.09971604;40142
19/3/2009;24.73928227;21.63614619;17.78345226;14.1261237;25.64971555;31.93701043;11.82662446;10.60008839;11.13703982;12.29807204;40453
20/3/2009;24.61241416;21.47763962;17.52488833;13.86823007;25.28674788;31.93701043;12.18615385;10.7019233;10.92557704;12.18987786;40076
23/3/2009;26.10100003;22.5079323;19.21273618;14.89335726;26.87573969;34.26721631;12.93359651;11.29441732;11.70094058;13.06985721;42438
24/3/2009;25.66964844;21.73917546;18.52323238;14.57743756;25.89975995;33.54617147;12.77275442;11.23887101;11.38352007;12.77412644;41475
25/3/2009;25.73731144;21.93730866;18.58787336;14.69993704;25.97235348;33.70444961;13.1512064;11.81284959;11.39776728;12.87234819;41799
26/3/2009;25.68656419;22.42867902;19.17682453;15.11901419;26.69022288;33.57255116;14.06422181;12.68307519;11.77531833;13.10152946;42588
27/3/2009;25.03530787;22.02448727;19.10500121;15.20282962;26.01268322;32.5789162;14.16829611;12.38682818;12.11012774;13.17410353;41907
30/3/2009;24.34176218;21.12892518;18.55196171;14.7257264;24.54468063;31.46217602;13.31677915;11.60917977;11.8964196;12.79977412;40653
31/3/2009;24.14723107;21.20025313;18.42267974;14.89335726;25.00443969;31.11044683;13.95541687;11.94245766;12.01752088;13.13972634;40925
1/4/2009;24.86615039;21.43801298;18.71873029;15.33177644;25.4077371;32.18322086;14.18721871;12.42385905;12.65152169;13.55989201;41976
2/4/2009;25.79651656;22.74569215;19.61694192;15.78629608;27.0773884;33.76600221;15.06711957;13.11818799;12.9863311;14.13284519;43736
3/4/2009;25.71193782;23.10233192;20.11994043;16.12821422;27.38389443;33.85393451;15.04819697;13.55330079;13.6060847;14.24743583;44390
