Ano,Mestrado - CAPES/CNPQ,Doutorado - CAPES/CNPQ,Mestrado - Fapesp,Doutorado - Fapesp,Salário Mínimo
1995,4550.63837239045,6744.24720107038,3771.24726993684,7856.76514570175,100
1996,3717.59391752329,5509.63849931283,3080.87893717399,6418.49778577916,112
1997,3393.05029195153,5028.65050174584,4545.93754584666,6701.74297995951,120
1998,3224.58756605273,4778.98129609749,4320.23472247396,6369.00582797708,130
1999,3172.09016595803,4701.17782883006,4249.89980798244,6265.31621176793,136
2000,2911.78292289873,4315.39098932366,3901.14562874553,5751.17345268671,151
2001,2747.62358699591,4072.09959785443,3681.20839694203,5426.93609033722,180
2002,2551.81192177199,3781.89805533335,3418.86403883817,5040.18100570987,200
2003,2267.66704252419,3360.78278539842,3038.17269509457,4478.95562266519,240
2004,2074.70851181212,3074.80971432929,2779.65090670961,4097.83587277808,260
2005,1928.17679622497,2857.64323528921,2583.3307905224,3808.41549530622,300
2006,2154.48601798533,3192.67109331861,2933.12482448529,4324.09123609687,350
2007,2296.52886178085,3405.70343970479,2843.7868033116,4192.38673065525,380
2008,2806.62903332089,4209.94354998133,2921.23305218149,4303.49785109203,415
2009,2650.19530844908,3975.29296267362,2758.41161687741,4063.63280628859,465
2010,2540.65131445955,3810.97697168933,2949.2727342018,4346.63095715455,510
2011,2398.90734662332,3598.36101993498,2784.73161153857,4104.1306521814,545
2012,2252.42425221742,3378.63637832613,2614.68915278239,3853.52249150197,622
2013,2394.19022001632,3546.94847409825,2903.17732604942,4279.39333399954,678
2014,2511.74978180474,3683.89967998029,2741.15626187624,4040.56814899656,724
2015,2360.5013473371,3462.06864276108,2678.38219544516,3946.75825274763,788
2016,2132.86054166657,3128.19546111097,2685.98237547211,3960.01107236094,880
2017,2006.68069602362,2943.13168750131,2659.52081579664,3919.71629289947,937
2018,1949.22871334253,2858.86877956904,2583.3777880833,3807.4934200624,954
2019,1878.85468600814,2755.65353947861,2490.10874385613,3670.02948666924,998
2020,1801.28847328603,2641.88976081951,2387.30765659509,3518.51681781871,1045
2021,1723.43312490221,2527.70191652325,2284.12336820373,3366.43937064232,1100
2022,1565.8892752335,2296.63760367579,2452.18260501565,3614.07244723891,1212
2023,2100,3100,2349.6,3462.6,1320
