Ano,Mestrado - CAPES/CNPQ,Doutorado - CAPES/CNPQ,Mestrado - Fapesp,Doutorado - Fapesp,Salário Mínimo Necessário Médio (DIEESE),Mestrado CAPES,Doutorado CAPES,Mestrado FAPESP,Doutorado FAPESP,Salário Mínimo Necessário Médio DIEESE
1995,724,1073,600,1250,"740,44","0,977800286992488","1,44914324301511","0,810331729551785","1,68819110323289",1
1996,724,1073,600,1250,"795,39","0,910248149486885","1,34902798950197","0,754349295154877","1,57156103157266",1
1997,724,1073,970,1430,"802,55","0,902119794614071","1,33698140831616","1,20864116129233","1,78181119654437",1
1998,724,1073,970,1430,"878,09","0,824519196549319","1,22197389212351","1,104673509189","1,62853929705183",1
1999,724,1073,970,1430,"901,14","0,80342454162355","1,19071068116308","1,07641133339067","1,58687443994707",1
2000,724,1073,970,1430,"967,07","0,748651212809795","1,10953418694048","1,00302717738329","1,47868955016299",1
2001,724,1073,970,1430,"1072,68","0,674942900203539","1,00029520983204","0,904274327620764","1,33310545205948",1
2002,724,1073,970,1430,"1188,69","0,609072146446518","0,902671841349605","0,816022074659009","1,20300161521895",1
2003,724,1073,970,1430,"1421,01","0,509497363961037","0,755097612610764","0,682613871605257","1,00632766638713",1
2004,724,1073,970,1430,"1482,61","0,488328565085182","0,723724517039227","0,654252359299208","0,96451636474007",1
2005,724,1073,970,1430,"1510,36","0,479355915146058","0,710426653248232","0,642230991286846","0,946794141794009",1
2006,855,1267,1164,1716,"1500,71","0,569731276747801","0,844268453379489","0,775634159221567","1,14346066771839",1
2007,940,1394,1164,1716,"1679,77","0,559601254340258","0,829876753776937","0,692953042608575","1,02156994941264",1
2008,1200,1800,1249,1840,"2002,00","0,599399601399265","0,899099402098898","0,623875085123068","0,919079388812206",1
2009,1200,1800,1249,1840,"2042,43","0,587534956289847","0,881302434434771","0,611525967005016","0,900886932977766",1
2010,1200,1800,1393,2053,"2110,26","0,568651206725248","0,852976810087872","0,660109275806892","0,972867439505779",1
2011,1200,1800,1393,2053,"2272,45","0,528065392097721","0,792098088146582","0,612995909326772","0,903431874980519",1
2012,1200,1800,1393,2053,"2463,81","0,487051367345979","0,730577051018969","0,565385462260791","0,83326371430108",1
2013,1350,2000,1637,2413,"2765,33","0,488187225225176","0,723240333666928","0,591972213106381","0,872589462569149",1
2014,1500,2200,1637,2413,"2925,16","0,512793339156387","0,752096897429367","0,55962846413267","0,824913551589574",1
2015,1500,2200,1702,2508,"3280,75","0,457211946948174","0,670577522190655","0,518783155803861","0,764458375297347",1
2016,1500,2200,1889,2785,"3875,13","0,387083538433847","0,567722523036309","0,487467202734358","0,71868510302551",1
2017,1500,2200,1988,2930,"3744,52","0,400585656229407","0,587525629136464","0,530909523056041","0,782477315168109",1
2018,1500,2200,1988,2930,"3755,25","0,399440694263432","0,585846351586368","0,529392066797136","0,780240822794571",1
2019,1500,2200,1988,2930,"4135,85","0,362682179792437","0,531933863695574","0,48067478228491","0,70843919119456",1
2020,1500,2200,1988,2930,"4717,49","0,317965754028405","0,466349772574995","0,421410612672313","0,621093106202152",1
2021,1500,2200,1988,2930,"5558,91","0,269836951022345","0,395760861499439","0,357623905754948","0,52708151099698",1
2022,1500,2200,2349,3462,"6408,14","0,234077222075563","0,343313259044159","0,366564929770331","0,540250228550399",1
2023,2100,3100,2507,3694,"6484,28","0,323860374539383","0,478079600510517","0,386627599509634","0,569685820737371",1
2024,2100,3100,2507,3694,"6855,82","0,306308905967906","0,452170289762148","0,365674489172163","0,538811951735927",1
