Ano,SalárioMínimoMédio
1994,690.9133333333333
1995,740.4375
1996,795.3875
1997,802.5541666666667
1998,878.0875
1999,901.1425
2000,967.0725
2001,1072.6833333333334
2002,1188.6933333333334
2003,1421.0083333333332
2004,1482.6083333333333
2005,1510.3600000000001
2006,1500.7075
2007,1679.7675
2008,2002.0033333333333
2009,2042.4316666666666
2010,2110.2566666666667
2011,2272.445833333333
2012,2463.8058333333333
2013,2765.3325
2014,2925.155
2015,3280.7541666666666
2016,3875.1325
2017,3744.5175
2018,3755.2508333333335
2019,4135.8525
2020,4717.489166666666
2021,5558.9125
2022,6408.141666666666
2023,6484.275833333333
2024,6855.824166666666
2025,7348.75
